category,difficulty,title,company_tags,accuracy,url
Strings,Easy,Equal Point in Brackets,Amazon,40.80%,https://www.geeksforgeeks.org/problems/find-equal-point-in-string-of-brackets2542/1
Strings,Easy,Max Frequency Word,"Amazon, Adobe, Microsoft, +1",42.10%,https://www.geeksforgeeks.org/problems/word-with-maximum-frequency0120/1
Strings,Easy,The Modified String,,49.86%,https://www.geeksforgeeks.org/problems/the-modified-string-1587115621/1
Strings,Easy,Make Palindrome,,55.43%,https://www.geeksforgeeks.org/problems/make-palindrome--170647/1
Strings,Easy,Repeating Character,Goldman Sachs,61.13%,https://www.geeksforgeeks.org/problems/repeating-character-first-appearance-leftmost/1
Strings,Easy,Balanced Splits of a Binary String,,50.02%,https://www.geeksforgeeks.org/problems/split-the-binary-string-into-substrings-with-equal-number-of-0s-and-1s/1
Strings,Easy,String Mirror,,51.38%,https://www.geeksforgeeks.org/problems/string-mirror--170647/1
Strings,Easy,License Key Formatting,Google,42.72%,https://www.geeksforgeeks.org/problems/license-key-formatting/1
Strings,Easy,Append Smaller at Both Ends,,59.65%,https://www.geeksforgeeks.org/problems/repeat-the-strings/1
Strings,Easy,Divisible by 7,,49.98%,https://www.geeksforgeeks.org/problems/divisible-by-73224/1
Strings,Easy,Remove b and ac from a given string,"Amazon, Google",49.82%,https://www.geeksforgeeks.org/problems/remove-b-and-ac-from-a-given-string4336/1
Strings,Easy,Count Substrings with Same Lower and Upper,,65.83%,https://www.geeksforgeeks.org/problems/count-the-substrings--141634/1
Strings,Easy,Type it!,,54.32%,https://www.geeksforgeeks.org/problems/type-it--170645/1
Strings,Easy,Largest odd number in string,,50.00%,https://www.geeksforgeeks.org/problems/largest-odd-number-in-string/1
Strings,Easy,Check if the number is balanced,,57.57%,https://www.geeksforgeeks.org/problems/check-if-the-number-is-balanced3014/1
Strings,Easy,Sum of Digits in a String,Facebook,59.54%,https://www.geeksforgeeks.org/problems/rearrange-a-string4100/1
Strings,Easy,1[0]1 Pattern Count,Samsung,32.05%,https://www.geeksforgeeks.org/problems/101-pattern-count1341/1
Strings,Easy,Check if it is possible to convert one string into another w...,,49.91%,https://www.geeksforgeeks.org/problems/check-if-it-is-possible-to-convert-one-string-into-another-with-given-constraints4116/1
Strings,Easy,Common Subsequence,Amazon,50.00%,https://www.geeksforgeeks.org/problems/common-subsequence4049/1
Strings,Easy,Meta Strings,Google,49.58%,https://www.geeksforgeeks.org/problems/meta-strings5713/1
Strings,Easy,Count Occurrences in Prefix of a Repeated String,,25.50%,https://www.geeksforgeeks.org/problems/aryas-long-string5840/1
Strings,Easy,Longest Prefix as a Substring,,38.66%,https://www.geeksforgeeks.org/problems/minimum-shift-for-longest-common-prefix0759/1
Strings,Easy,Rock Paper Scissors!,,52.24%,https://www.geeksforgeeks.org/problems/rock-paper-scissors2830/1
Strings,Easy,Special String Comparison,Microsoft,26.03%,https://www.geeksforgeeks.org/problems/string-comparison5858/1
Strings,Easy,Generate Binary Strings,Google,45.76%,https://www.geeksforgeeks.org/problems/generate-binary-string3642/1
Strings,Easy,Same Characters and Same Order,,54.99%,https://www.geeksforgeeks.org/problems/c-corresponding-position-in-the-two-strings-that-hold-exactly-the-same-characters5013/1
Strings,Easy,Make all Substrings Distinct,,62.63%,https://www.geeksforgeeks.org/problems/minimum-changes-to-make-all-substrings-distinct4722/1
Strings,Easy,Convert CamelCase to Sentence,Adobe,47.12%,https://www.geeksforgeeks.org/problems/amend-the-sentence3235/1
Strings,Easy,Difficulty of a Sentence,Microsoft,36.04%,https://www.geeksforgeeks.org/problems/difficulty-of-sentence5856/1
Strings,Easy,Does Robot Move Circular,"Amazon, Visa",48.10%,https://www.geeksforgeeks.org/problems/does-robot-moves-circular0414/1
Strings,Easy,Fizz Buzz,,55.80%,https://www.geeksforgeeks.org/problems/fizz-buzz/1
Strings,Easy,Partition a number into two divisible parts,Oracle,49.89%,https://www.geeksforgeeks.org/problems/partition-a-number-into-two-divisible-parts3605/1
Strings,Easy,Check for Rotation of a Palindrome,,40.89%,https://www.geeksforgeeks.org/problems/check-if-a-given-string-is-a-rotation-of-a-palindrome0317/1
Strings,Easy,Multiply by 11,,21.10%,https://www.geeksforgeeks.org/problems/multiply-by-111820/1
Strings,Easy,Smallest and Largest Words,,39.83%,https://www.geeksforgeeks.org/problems/smallest-and-largest/1
Strings,Easy,Minimum Replacements to Make Anagram,"Flipkart, Yatra.com",47.60%,https://www.geeksforgeeks.org/problems/min-manipulations-to-make-strings-anagram1421/1
Strings,Easy,String Concatenation,,36.92%,https://www.geeksforgeeks.org/problems/string-concatenation-1614157859/1
Strings,Easy,Remove all occurrences of a character in a string,,59.01%,https://www.geeksforgeeks.org/problems/remove-all-occurrences-of-a-character-in-a-string/1
Strings,Easy,Lexicographically Smallest and Largest,,63.48%,https://www.geeksforgeeks.org/problems/ordering-of-strings5527/1
Strings,Easy,Toggle Case,,79.32%,https://www.geeksforgeeks.org/problems/toggle-case/1
Strings,Easy,Replace Word,Adobe,61.84%,https://www.geeksforgeeks.org/problems/replace-a-word5553/1
Strings,Easy,Check if two strings are same or not,,66.94%,https://www.geeksforgeeks.org/problems/check-if-two-strings-are-same-or-not--155406/1
Strings,Easy,Divisibility by 5 for Binary,,28.74%,https://www.geeksforgeeks.org/problems/divisible-by-5-or-not-14509/1
Strings,Easy,Colorful Strings,Directi,32.63%,https://www.geeksforgeeks.org/problems/geek-and-its-colored-strings1355/1
Strings,Easy,Smallest Number In One Swap,,15.43%,https://www.geeksforgeeks.org/problems/smallest-number-in-one-swap0010/1
Strings,Easy,Make All Even with Minimum Operations,,50.90%,https://www.geeksforgeeks.org/problems/the-even-array3825/1
Strings,Easy,Count Even Substrings,,47.77%,https://www.geeksforgeeks.org/problems/count-even-substrings3857/1
Strings,Easy,Kth Character in an Encoded String,"Amazon, National Instruments",35.84%,https://www.geeksforgeeks.org/problems/decode-it1646/1
Strings,Easy,Large Number Division,,48.19%,https://www.geeksforgeeks.org/problems/large-number-division0207/1
Strings,Easy,Non-Repetitive String,,44.49%,https://www.geeksforgeeks.org/problems/the-non-repetitive-string5955/1
Strings,Easy,Split Into 4 Distinct Substrings,,41.59%,https://www.geeksforgeeks.org/problems/split-the-string2424/1
Strings,Easy,Search a Character in a String,,80.34%,https://www.geeksforgeeks.org/problems/search-a-character-in-a-string/1
Strings,Easy,Repeated Removal of 3 Consecutive Duplicates,,40.89%,https://www.geeksforgeeks.org/problems/three-consecutive-duplicates2434/1
Strings,Easy,String Conversion,,47.56%,https://www.geeksforgeeks.org/problems/convert-the-string1022/1
Strings,Easy,Divisibility by 999,,39.47%,https://www.geeksforgeeks.org/problems/divisibility-by-9990149/1
Strings,Easy,String comparison,,59.81%,https://www.geeksforgeeks.org/problems/string-comparison--141631/1
Strings,Easy,Make x times 0's and y times 1's,,37.54%,https://www.geeksforgeeks.org/problems/rearrange-string-as-alternate-x-and-y-occurences3835/1
Strings,Easy,Lexicographically Previous Permutation,,41.80%,https://www.geeksforgeeks.org/problems/lexicographically-previous-permutation3620/1
Strings,Easy,Remove Palindromic Subsequences to Make Empty,,56.13%,https://www.geeksforgeeks.org/problems/palindromic-subsequences1335/1
Strings,Easy,Max Length Removal with 100,,22.35%,https://www.geeksforgeeks.org/problems/max-length-removal0452/1
Strings,Easy,Remove a Character from a Given Position,,76.86%,https://www.geeksforgeeks.org/problems/remove-a-character-from-a-given-position/1
Strings,Easy,Permutation Divisibility by 4,,18.72%,https://www.geeksforgeeks.org/problems/permutation-divisibility0447/1
Strings,Easy,Count Sentences and Words,,44.66%,https://www.geeksforgeeks.org/problems/counting-number-of-sentences-and-words-in-text3226/1
Strings,Easy,Ways to Split String with Distinct Partition Starts,,13.05%,https://www.geeksforgeeks.org/problems/ways-to-split-string-such-that-each-partition-starts-with-distinct-letter5723/1
Strings,Easy,Palindrome Numbers in a Range,Flipkart,88.17%,https://www.geeksforgeeks.org/problems/print-all-palindromes-in-the-given-range/1
Strings,Easy,Time Difference,,57.64%,https://www.geeksforgeeks.org/problems/time-difference5528/1
Strings,Easy,Kth Boom Number,,32.59%,https://www.geeksforgeeks.org/problems/kth-boom-number5609/1
Strings,Easy,Largest Permutation Smaller than Other Number,,13.95%,https://www.geeksforgeeks.org/problems/maximize-permutations2915/1
Strings,Easy,Smallest Greater Date with Same Digits,,25.80%,https://www.geeksforgeeks.org/problems/the-wedding-date5302/1
Strings,Easy,Make a String with Deletion and Rearrangement,,41.04%,https://www.geeksforgeeks.org/problems/make-a-string-from-another-string--141625/1
Strings,Easy,Even Decimal Binary String,,40.12%,https://www.geeksforgeeks.org/problems/even-decimal-binary-string4748/1
Strings,Easy,Overlapping Substrings,,22.64%,https://www.geeksforgeeks.org/problems/overlapping-substrings2654/1
Strings,Easy,Patients with Hypertension,,49.06%,https://www.geeksforgeeks.org/problems/patients-with-hypertension/1
Strings,Easy,Lexicographical maximum substring of String,,51.67%,https://www.geeksforgeeks.org/problems/lexicographical-maximum-substring/1
Strings,Easy,Longest Balanced Substring,,57.77%,https://www.geeksforgeeks.org/problems/longest-even-length-substring--113837/1
Strings,Medium,Strings Rotations of Each Other,"Adobe, NPCI, Oracle",43.83%,https://www.geeksforgeeks.org/problems/check-if-strings-are-rotations-of-each-other-or-not-1587115620/1
Strings,Medium,Validate an IP Address,"Amazon, Microsoft, Qualcomm, +1",11.22%,https://www.geeksforgeeks.org/problems/validate-an-ip-address-1587115621/1
Strings,Medium,Implement Atoi,"Adobe, Amazon, Code Brew, +3",32.58%,https://www.geeksforgeeks.org/problems/implement-atoi/1
Strings,Medium,Multiply Two Strings,"Adobe, Amazon, Facebook, +5",20.06%,https://www.geeksforgeeks.org/problems/multiply-two-strings/1
Strings,Medium,Recursively Remove All Adjacent Duplicates,"Paytm, Samsung",14.88%,https://www.geeksforgeeks.org/problems/recursively-remove-all-adjacent-duplicates0744/1
Strings,Medium,Factorials of large numbers,"Adobe, BrowserStack, MakeMyTrip, +5",36.57%,https://www.geeksforgeeks.org/problems/factorials-of-large-numbers2508/1
Strings,Medium,Sum Two Large Numbers,"Amazon, Microsoft, Zoho",22.58%,https://www.geeksforgeeks.org/problems/sum-of-numbers-or-number1219/1
Strings,Medium,Add Binary Strings,"Amazon, Facebook, Microsoft",23.25%,https://www.geeksforgeeks.org/problems/add-binary-strings3805/1
Strings,Medium,Excel Column Name from Number,"Amazon, Directi, Goldman Sachs, +3",32.41%,https://www.geeksforgeeks.org/problems/column-name-from-a-given-column-number4244/1
Strings,Medium,Check Sum String,Nutanix,52.99%,https://www.geeksforgeeks.org/problems/additive-sequence/1
Strings,Medium,N-th after Binary String Expansion,,19.13%,https://www.geeksforgeeks.org/problems/find-the-n-th-character5925/1
Strings,Medium,Form Number using Pattern,"Amazon, Goldman Sachs, Google",55.44%,https://www.geeksforgeeks.org/problems/number-following-a-pattern3126/1
Strings,Medium,Check Repeated Substring with K Replacements,,53.15%,https://www.geeksforgeeks.org/problems/check-if-a-string-is-repetition-of-its-substring-of-k-length3302/1
Strings,Medium,Rank The Permutations,"Amazon, Microsoft, FactSet",49.84%,https://www.geeksforgeeks.org/problems/rank-the-permutations2229/1
Strings,Medium,Binary Numbers with More 1s in All Prefixes,,56.08%,https://www.geeksforgeeks.org/problems/print-n-bit-binary-numbers-having-more-1s-than-0s0252/1
Strings,Medium,Look and Say Pattern,"Zoho, Amazon, Microsoft, +1",62.54%,https://www.geeksforgeeks.org/problems/decode-the-pattern1138/1
Strings,Medium,Cat and Hat,,56.52%,https://www.geeksforgeeks.org/problems/cat-and-hat-python/1
Strings,Medium,Add Minimum Characters,Samsung,50.20%,https://www.geeksforgeeks.org/problems/add-minimum-characters--170648/1
Strings,Medium,Exactly one swap,,48.42%,https://www.geeksforgeeks.org/problems/exactly-one-swap--170637/1
Strings,Medium,Alternate Vowel and Consonant String,,48.70%,https://www.geeksforgeeks.org/problems/alternate-vowel-and-consonant-string2939/1
Strings,Medium,String formation from substring,"Amazon, MakeMyTrip",33.49%,https://www.geeksforgeeks.org/problems/string-formation-from-substring2734/1
Strings,Medium,Maximum Length,,55.93%,https://www.geeksforgeeks.org/problems/maximum-length--170647/1
Strings,Medium,String stack,,46.69%,https://www.geeksforgeeks.org/problems/string-stack--165812/1
Strings,Medium,Nth Number with Prime Digits,,59.07%,https://www.geeksforgeeks.org/problems/nth-number-made-of-prime-digits4319/1
Strings,Medium,Maximum ASCII Sum Substring,,59.25%,https://www.geeksforgeeks.org/problems/save-your-life4601/1
Strings,Medium,Sum of Beauty of All Substrings,,57.41%,https://www.geeksforgeeks.org/problems/sum-of-beauty-of-all-substrings-1662962118/1
Strings,Medium,Longest Matching in Dictionary with Removals,"Walmart, Google",43.54%,https://www.geeksforgeeks.org/problems/find-largest-word-in-dictionary2430/1
Strings,Medium,Minimum Days,,54.28%,https://www.geeksforgeeks.org/problems/minimum-days--170646/1
Strings,Medium,Palindrome with Replacement,,60.42%,https://www.geeksforgeeks.org/problems/palindrome-with-minimum-sum--170648/1
Strings,Medium,Kth Character After Binary String Transformations,Amazon,24.56%,https://www.geeksforgeeks.org/problems/find-k-th-character-in-string3841/1
Strings,Medium,Numbers with Adjacent Digit Diff as 1,"Jabong, Amazon",27.74%,https://www.geeksforgeeks.org/problems/numbers-with-one-absolute-difference2416/1
Strings,Medium,Maximum Reachable Index Difference,,48.14%,https://www.geeksforgeeks.org/problems/maximum-reachable-index-difference/1
Strings,Medium,Count Unique Vowel Strings,,50.99%,https://www.geeksforgeeks.org/problems/count-unique-vowel-strings/1
